Model,Samples,Run,balanced_acc,f1_score,kappa,average_auroc,average_aupr
supervised_vae,150,1,0.5917882121457633,0.6338798627887994,0.6295773848957937,0.9278182552017062,0.6975105940169793
RandomForest,150,1,0.44548596249605565,0.5419505398826763,0.525292954622173,0.9404913182425767,0.700568863138202
supervised_vae,175,0,0.6360138438808414,0.6925411037840985,0.6764339947323784,0.9370847204412432,0.7400070540178195
RandomForest,175,0,0.3675165165648705,0.48204187111235397,0.48867066349136024,0.9423250278078918,0.7204367972693047
supervised_vae,175,1,0.6227109144098052,0.6887123086727682,0.677945025150646,0.9462326238249832,0.753300594322003
RandomForest,175,1,0.4105501859801938,0.5195107325532682,0.5037770478464586,0.9421152565415123,0.7168149327410779
supervised_vae,200,1,0.6220042784618927,0.6624142801867225,0.6484469399134498,0.9447913586372683,0.7475942595800394
RandomForest,200,1,0.45979957360951534,0.552371444947554,0.5347356146566803,0.9418425699264883,0.7215059843025342
supervised_vae,200,0,0.6288484455641509,0.6934443739836074,0.6817824718092301,0.9398426812013548,0.7465689810326416
RandomForest,200,0,0.4331160770582905,0.5458426579091931,0.5451712193286311,0.9447493863661377,0.7270738942670589
supervised_vae,50,2,0.4230097840998131,0.43310760080397215,0.43353955953461853,0.8383961581365372,0.5120224786443861
supervised_vae,50,3,0.4490718564992616,0.49118550393334687,0.452757332962356,0.869406913028867,0.5519655797165859
RandomForest,50,2,0.329480145614186,0.3857061523330948,0.37489271922621725,0.8303856248594342,0.46017783369951026
RandomForest,50,3,0.28046222452457925,0.2666390901951226,0.2965650337271766,0.882097721535064,0.535404691390361
supervised_vae,75,2,0.3759258976374238,0.4670556922873027,0.45461848436302976,0.8454800641976269,0.5222857180412812
RandomForest,75,2,0.44164792575297734,0.5347313199627434,0.5412445128096913,0.90631906737652,0.6217574097612681
supervised_vae,75,3,0.4794195176882467,0.5121375210812028,0.4769733244876684,0.8796804137694575,0.5716015516548515
RandomForest,75,3,0.3685248103596469,0.4709912970852029,0.4634559473188157,0.9122080614522351,0.6203904921644287
supervised_vae,100,2,0.5985074285456803,0.6204919935713938,0.6011107901653316,0.9252705190701482,0.6881352910051504
RandomForest,100,2,0.48217989062091543,0.571750853629445,0.5758233642044295,0.9180020684212272,0.6753165384504115
supervised_vae,100,3,0.5179859014827475,0.5768261660843914,0.5503050507649794,0.9017024960969741,0.6360786112135476
RandomForest,100,3,0.4246922791988557,0.5383693738280193,0.5446931844449581,0.9241358135420124,0.6694491526999122
supervised_vae,125,2,0.6078365945401156,0.6444355635115937,0.6201411537716353,0.925454823474836,0.6898525407485254
RandomForest,125,2,0.4888197575074796,0.5847099455081969,0.5951599139494836,0.9292556336211584,0.7018210454461951
supervised_vae,125,3,0.6020041573612179,0.6411009000463417,0.616173257822421,0.9361606743699943,0.7215516680214958
RandomForest,125,3,0.42163518804184075,0.5382085956178104,0.5469876574648891,0.9347359900963613,0.6890441833746411
supervised_vae,150,2,0.603264874071592,0.6592722554081035,0.6465596274105394,0.9410807220765801,0.719655971881643
RandomForest,150,2,0.4935122031127677,0.5862573588966051,0.5887563118621619,0.9281789666650552,0.6981606816735867
supervised_vae,150,3,0.6071953851098857,0.6746767089958907,0.6591296438756731,0.9413810593794286,0.7321509325511246
RandomForest,150,3,0.46241295844772967,0.5762103135201292,0.5696450174104428,0.9208447411472953,0.6544937315566549
supervised_vae,175,2,0.6407486926731037,0.6938126614631346,0.6807005171603198,0.9411316692486552,0.7357492286837305
RandomForest,175,2,0.45697668800353214,0.5589601391767623,0.571836417650105,0.9308754117358308,0.7004171514645288
supervised_vae,175,3,0.6129146860819445,0.6829796799608836,0.6692370370951526,0.9440656884100259,0.7376034099005808
RandomForest,175,3,0.45372944970047296,0.5754828968362448,0.5738976389674577,0.9293440902311897,0.6804900844284402
supervised_vae,200,2,0.6133569186950117,0.6749805692989669,0.6674743840713895,0.9467991005410241,0.7569776897956685
RandomForest,200,2,0.4464863868115633,0.555918087310856,0.565709345884161,0.9347511351428105,0.6881650811003664
supervised_vae,50,4,0.3961677917525669,0.4259775354776383,0.3972700468158522,0.8570824803023456,0.525806573511798
RandomForest,50,4,0.254048444979526,0.32986186949799434,0.315554934544776,0.8627863347459749,0.5142211975443125
supervised_vae,75,4,0.371176562387672,0.42506043796295884,0.41957751102979146,0.8701508539867572,0.5633468649032047
RandomForest,75,4,0.3241844029348249,0.3907750793952115,0.39534369752856935,0.8783312568034003,0.5626227166416863
supervised_vae,200,3,0.6505372161648272,0.7076120317946274,0.686985796108613,0.9383053883137275,0.7473830174435989
RandomForest,200,3,0.4849166222225597,0.6048274178176262,0.5986606552449655,0.9530247329959616,0.7343782571136287
supervised_vae,100,4,0.5159687952548829,0.5813385224657104,0.5660645823130356,0.9047287903726488,0.6151886144257258
supervised_vae,50,5,0.3306379825350819,0.40058088255543384,0.3684271418842463,0.8188372961779059,0.4560828412863219
RandomForest,100,4,0.3731259149402304,0.4465701424175426,0.44813372800442386,0.9040041493699824,0.6106736472621112
RandomForest,50,5,0.27386055906139056,0.3583253875944547,0.3434185484657304,0.8487728291210854,0.4908212945030916
supervised_vae,75,5,0.44765368533755356,0.5440299102970603,0.5550818103923301,0.8948320557168287,0.5962684980585826
RandomForest,75,5,0.3182304812065318,0.3725713418603891,0.4106661822186771,0.89251371360573,0.5925091488248638
supervised_vae,125,4,0.5348135001708229,0.6121439400687342,0.5965368930317383,0.9242712068980934,0.684166771929736
RandomForest,125,4,0.3708453602952156,0.4607163585886026,0.46241798893524555,0.9094174460801637,0.6119808032446666
supervised_vae,100,5,0.49426525371256197,0.5820444582600015,0.5721698104071723,0.9063837956126781,0.6429415556315212
RandomForest,100,5,0.3924955825513931,0.46203227874363023,0.46963228151536984,0.9085618481304705,0.6253055940439111
supervised_vae,150,4,0.5588450042107805,0.6172857234370671,0.6116094986807388,0.941563620418746,0.7184357059903551
RandomForest,150,4,0.37272615821552413,0.45790673498570156,0.4658101490345051,0.9301846815479234,0.6739116484282861
supervised_vae,125,5,0.5311647322686855,0.6173732626108261,0.5972684859860089,0.9213534196422203,0.6698872939709489
RandomForest,125,5,0.4028807317514913,0.5118797849478707,0.5221577478669,0.9220802190383341,0.6392644156989582
supervised_vae,175,4,0.5483062245532714,0.6124557282066021,0.6025254378350322,0.9274522468512114,0.6843033306827677
RandomForest,175,4,0.4420865500842459,0.5511557651982756,0.5475823502111398,0.9406133073009482,0.7061764834679151
supervised_vae,150,5,0.5457523878986915,0.6329234348501037,0.6106534030523318,0.924207799546307,0.6827532996285279
RandomForest,150,5,0.4090373668728002,0.5223859587584495,0.5375062689561293,0.934717995539219,0.6834033558850203
supervised_vae,175,5,0.6387972934618049,0.7119728753096333,0.6900877284140164,0.9486414724968565,0.7567359753091548
RandomForest,175,5,0.4334772389989669,0.5551691696796656,0.5577079641779609,0.9454663720305234,0.707577656668389
supervised_vae,200,4,0.626268503942413,0.701281913797625,0.6788391527338428,0.9433044484134249,0.7454958586502283
RandomForest,200,4,0.44662415945233014,0.5542964275762402,0.5511915927181781,0.9453408684172575,0.7109544062231066
supervised_vae,200,5,0.6343567486606045,0.7162814782478403,0.6974178836293048,0.9576719804577041,0.7651136658819957
RandomForest,200,5,0.5007708556447809,0.6173382937379852,0.6139535886611819,0.9485259629012991,0.7376760157323841
supervised_vae,50,7,0.35649775050755866,0.41729496080816614,0.38184338665883777,0.8412362583625764,0.4734789553528821
RandomForest,50,7,0.39752384777343447,0.4161904543576726,0.4081999591955445,0.8576205446413137,0.5022196473724139
supervised_vae,50,6,0.3717317127817445,0.42502485880335206,0.3918956755470314,0.8625786520183053,0.5171873531596939
RandomForest,50,6,0.24255655765575387,0.26185214244716315,0.27415143603133174,0.8391662043393743,0.4145846644403217
supervised_vae,75,7,0.519686096129413,0.5848800116347217,0.5470936793293282,0.8991578521198297,0.6376337922376379
RandomForest,75,7,0.4341033856838052,0.4852961103669824,0.46241345202769535,0.90537874764066,0.5990308344862797
supervised_vae,75,6,0.3951679351739002,0.4677103129916747,0.46042954724416874,0.8775186567593838,0.5587696910637345
RandomForest,75,6,0.29443279082699614,0.3421493914686091,0.35678402902436623,0.8832977749097621,0.5671591987245377
supervised_vae,100,7,0.48260275631673644,0.5358068757155612,0.5114609899046281,0.9089560511120794,0.6224289040248682
RandomForest,100,7,0.45056325011050824,0.49534253258256095,0.48067405718681544,0.9248741366295813,0.6405461552858839
supervised_vae,100,6,0.5410119983029967,0.5909983653039862,0.591757332898446,0.931765698136622,0.6702513498242807
RandomForest,100,6,0.3773985817896483,0.4439885447826923,0.45065307309315117,0.9149049700141675,0.626992596607597
supervised_vae,125,7,0.6005107159264773,0.6429898957835568,0.6281986670558376,0.9427269827740363,0.7371185244689784
RandomForest,125,7,0.4176596241067909,0.4995262258882225,0.5023671176751032,0.9218301186545076,0.6374747686349115
supervised_vae,125,6,0.5444273637588983,0.5960702699022398,0.5906186435663966,0.9254129250990323,0.6940700240043568
RandomForest,125,6,0.42328868786025414,0.5105691105961744,0.518823973940827,0.9212447706276009,0.6491291599782992
supervised_vae,150,7,0.5872771222816778,0.6357175503875879,0.617535903250189,0.9357230421356898,0.7126347712466138
RandomForest,150,7,0.45785919472466574,0.5575415189055721,0.5435422086836016,0.9377938856204371,0.6933002556417021
supervised_vae,150,6,0.5628212083984873,0.6331836956703133,0.6252979677373232,0.9301920326251613,0.6990909095825292
RandomForest,150,6,0.43904179328883974,0.5310871879958238,0.5415164224097091,0.924043523427873,0.6709944036198521
supervised_vae,175,7,0.6066972356577041,0.6796736544794969,0.6609930160668626,0.9492760746251673,0.7536622025552243
RandomForest,175,7,0.4596451003933057,0.554841782072205,0.5420840282996389,0.9366138598787567,0.695208980588996
supervised_vae,175,6,0.6027696520700295,0.6688985705583684,0.6496876759936538,0.9392949018559986,0.7335859169074549
RandomForest,175,6,0.4685011633898691,0.5598688261910421,0.5682242093973406,0.9356162164046214,0.7002765196668964
supervised_vae,200,6,0.5779662133674157,0.6669446989624874,0.6558005412988338,0.9407593465998877,0.7344307572513661
RandomForest,200,6,0.4860172567808716,0.599121423328414,0.6017366198552097,0.9422407932446747,0.7219265177982929
supervised_vae,200,7,0.6361931924979812,0.7038788187617603,0.6848492276074509,0.9467660049326703,0.7517524442439154
RandomForest,200,7,0.4539986302503516,0.5662079389849403,0.5516878770574039,0.9308418499557369,0.6795036787057444
supervised_vae,50,8,0.3550749507687762,0.44625291539029016,0.4025705259902357,0.8279293090750827,0.46859959841474025
supervised_vae,50,9,0.3621243426649296,0.4203174206372183,0.4126257389238963,0.8485535229489537,0.5064729857324402
RandomForest,50,8,0.2428721328678353,0.32213507113236484,0.31791521486643437,0.8376351592040738,0.45964680580579886
RandomForest,50,9,0.23240730133934168,0.29095094938373156,0.3147849625052954,0.8539897413805131,0.5147829339474264
supervised_vae,75,8,0.4180157106243931,0.4623019811785479,0.4266581476597654,0.8797022756365299,0.5378138832119912
RandomForest,75,8,0.36128412765692036,0.44794698268388533,0.4411739958187819,0.8778340634058598,0.5452458895678487
supervised_vae,75,9,0.47332749791070544,0.5445955493064328,0.52044369514866,0.9072494277882951,0.6187670681680071
RandomForest,75,9,0.308103992961686,0.3891167566233382,0.3862500801483726,0.9010547793919443,0.5947540918432976
supervised_vae,100,8,0.5178251134706429,0.6060342146888766,0.5875122464004762,0.9166399995277971,0.6544878130291492
RandomForest,100,8,0.35976757686142946,0.48336736758577303,0.49626996730780204,0.9230386988311897,0.6542347027186866
supervised_vae,100,9,0.4494833918952085,0.5233635682065307,0.5114914639423895,0.9127987262675071,0.6265979971982465
RandomForest,100,9,0.35170109715321624,0.4206932666553425,0.44222243523688565,0.9179860688414534,0.6122071268477752
supervised_vae,125,8,0.4786614025755925,0.5358577651192564,0.5342109212137927,0.9230841380494684,0.6527186701705415
RandomForest,125,8,0.3772576479466434,0.505889085817915,0.5031165887519479,0.9208803607625031,0.6641054038447088
supervised_vae,125,9,0.581726440766367,0.6222301564380549,0.6199257658810594,0.9314799004895212,0.7037427754209766
RandomForest,125,9,0.4398171678833333,0.5394615197496441,0.5372331330049672,0.9310097970305683,0.6839301031043972
supervised_vae,150,8,0.5396156817987069,0.634696990038398,0.6182491256710647,0.9420661017591745,0.7164663382566568
RandomForest,150,8,0.3987947839334428,0.5384828126130904,0.5241640088120212,0.9400695920976145,0.7006654288872955
supervised_vae,175,8,0.5588830115480392,0.6402929639534247,0.6260278164834019,0.9425357222380693,0.7131576004054706
RandomForest,175,8,0.4467472528252289,0.572212625090965,0.5602255854092957,0.9438055467128493,0.7094138054721554
supervised_vae,150,9,0.5761538956804461,0.6370957701152921,0.6283030693226819,0.9300693589531268,0.7036705947449736
RandomForest,150,9,0.469749903233945,0.5485316439277391,0.5537433038630721,0.9305362949853514,0.6791456002623298
supervised_vae,200,8,0.5622729231473488,0.6421944544962727,0.6307561204355701,0.9365512215922958,0.7133382023231842
RandomForest,200,8,0.4485586801354368,0.5672443439692992,0.5579598629938733,0.9414474155643944,0.7033956044601887
supervised_vae,175,9,0.5960187150205469,0.6472217480545305,0.6296824017848568,0.9342221352642474,0.7162456307063556
RandomForest,175,9,0.46177120765674373,0.5454587280963049,0.5423217756985863,0.931437070131685,0.6850409400168584
supervised_vae,200,9,0.6617260384384793,0.7056120438004535,0.6881000572084397,0.9333708665036179,0.7349746841200975
RandomForest,200,9,0.47453285817821733,0.5622165233494882,0.5651893773651134,0.9362386047039521,0.7000899959735213
